"","x"
"80",-0.0555272861638514
"81",-0.0553756476729177
"82",-0.0552248680905905
"83",-0.0550748457135342
"84",-0.0549256668600719
"85",-0.0547773011858226
"86",-0.0546298318768095
"87",-0.0544830493963673
"88",-0.054337107721949
"89",-0.0541918856888515
"90",-0.0540474662993802
"91",-0.0539039083832904
"92",-0.0537610122937622
"93",-0.0536189257109072
"94",-0.0534775017076754
"95",-0.053336946573836
"96",-0.0531970884676412
"97",-0.0530579516635044
"98",-0.0529195511771832
"99",-0.0527818562804896
"100",-0.0526448773271113
"101",-0.0525086429224757
"102",-0.0523730773038551
"103",-0.0522381753744412
"104",-0.0521040197436378
"105",-0.0519706449522346
"106",-0.0518378753131401
"107",-0.0517057909182768
"108",-0.0515743737250887
"109",-0.0514435848217545
"110",-0.051313527928869
"111",-0.0511840521648992
"112",-0.0510552611758612
"113",-0.0509271475129935
"114",-0.036807226964811
"115",-0.0365881123743748
"116",-0.0505156805629667
"117",-0.0503909209892299
"118",-0.0502669263678399
"119",-0.167555744783385
"120",-0.0496765533225698
"121",-0.0495552989341377
"122",-0.0494346039358788
"123",-0.0345624430883618
"124",-0.166357107562362
"125",-0.0336731037587015
"126",-0.0334802786564978
"127",-0.0332895814335643
"128",-0.0331012257502152
"129",-0.0329148908440402
"130",-0.0327307069237577
"131",-0.0325484463501198
"132",-0.0323683498954779
"133",-0.0321900823873875
"134",-0.0320138309180038
"135",-0.031839522993323
"136",-0.0316671348336968
"137",-0.0314964852823323
"138",-0.0313277709792601
"139",-0.0311608354331838
"140",-0.0309956390265143
"141",-0.0308322704513557
"142",-0.0306705316088483
"143",0.0780337302003318
"144",-0.0308055413952388
"145",-0.0306459598250512
"146",-0.0304880800522369
"147",-0.0303318722071708
"148",-0.0301772284583421
"149",-0.0300241326112882
"150",-0.0298725576212746
"151",-0.0297225874419382
"152",-0.0295740624969767
"153",-0.0294270160193264
"154",-0.0292814589502086
"155",-0.0291373115414899
"156",-0.0289945782551513
"157",-0.0288533207494766
"158",-0.0287133861056645
"159",-0.0285747836642258
"160",-0.0284374341499642
"161",-0.0283014847136656
"162",-0.0281667475082941
"163",-0.0280334560993651
"164",-0.0279013756062341
"165",-0.027770406268246
"166",-0.0276407140172523
"167",-0.0275122172115516
"168",-0.0273849157565564
"169",-0.027258836569672
"170",-0.0271337956401112
"171",-0.0270099757599382
"172",-0.0268873407858337
"173",-0.0267657416025031
"174",-0.0266453304921015
"175",-0.0265258961499057
"176",-0.026407525763716
"177",-0.0262902030135592
"178",-0.0261739578108973
"179",-0.026058665203891
"180",-0.00826834051258629
"181",-0.123185572318107
"182",-0.11487023429072
"183",0.116506973756259
"184",-0.132471001528756
"185",-0.114233741898715
"186",-0.00678348772453319
"187",0.00199832234466157
"188",-0.130810335338538
"189",-0.129839886738409
"190",0.102024949119368
"191",0.0834008368165087
"192",-0.163740622272599
"193",-0.160978817952127
"194",-0.158309081722109
"195",0.0740979313904973
"196",-0.0419967162561079
"197",0.0572355434978817
"198",0.0557443876441539
"199",0.054328725218511
"200",-0.175347314630926
"201",-0.171894640772734
"202",-0.168575805999353
"203",0.0647462792094302
"204",0.0632682888845011
"205",0.0774861034587957
"206",0.0762126968984376
"207",0.0749804051101819
"208",-0.0413649599904602
"209",0.074436367414819
"210",0.0732866836879111
"211",0.0721718291533762
"212",0.0710904736461089
"213",0.0700410663393995
"214",0.0690223250076087
"215",0.0680326483852696
"216",-0.179180997287403
"217",0.0698331282455911
"218",0.0688744636790943
"219",-0.0470214880515414
"220",-0.161826591740464
"221",-0.160151091598891
"222",-0.15851016032866
"223",0.0906458606732485
"224",0.0898172910838184
"225",0.0890038331599499
"226",0.0882049524516333
"227",0.0874202014765615
"228",0.0866494119291019
"229",0.0858919807687926
"230",0.0851476992957032
"231",0.0844163268684497
"232",0.0836973904370097
"233",-0.0323313568187586
"234",-0.147694795354255
"235",-0.146778531978271
"236",0.0854952162608242
"237",-0.163019248886485
"238",0.0862729177461006
"239",-0.162273689742506
"240",-0.160846035136274
"241",0.0884468923122768
"242",0.0877508462399419
"243",0.0870657684445177
"244",0.069446080691705
"245",0.0686970273600309
"246",-0.162846293496841
"247",-0.161500000785963
"248",-0.160175951417841
"249",-0.158873412958201
"250",-0.15759196007275
"251",-0.156331100848547
"252",-0.155090342621406
"253",-0.153869216117528
"254",-0.152667215434121
"255",0.0815261515181191
"256",0.0807247589946201
"257",0.0799390002339351
"258",0.0791683105562697
"259",0.0784124897818401
"260",-0.0461284859356965
"261",-0.169391844849088
"262",-0.16769019019921
"263",-0.166022494073331
"264",-0.164387642435031
"265",-0.162784862744957
"266",-0.161213003120793
"267",0.0739118172405142
"268",0.0730477216602594
"269",0.0722034853206424
"270",0.0713786502947187
"271",0.07057247010016
"272",0.0697843142061174
"273",0.069013495625768
"274",0.0682595565740485
"275",0.0675218972755829
"276",0.0668000240566471
"277",0.0660935176601924
"278",0.065401776573708
"279",0.0647243041930778
"280",0.0640607477489539
"281",0.063410598806513
"282",0.0627736216938501
"283",0.0621493456674216
"284",0.0615373930504575
"285",0.0609373055285687
"286",0.060348817762133
"287",0.0597715197363868
"288",0.059205246887359
"289",-0.0572636581400729
"290",-0.172945785037882
"291",-0.171654571548061
"292",-0.170382515660094
"293",-0.169129293533842
"294",-0.0513184701558203
"295",0.065508757961652
"296",0.0649268105771625
"297",0.0643552085803094
"298",-0.0525304891652922
"299",-0.168674224776623
"300",-0.0508525860204827
"301",-0.0504612806253135
"302",-0.0500760361446737
"303",-0.151855255866394
"304",-0.151115870317881
"305",0.0984481346968096
"306",0.0980159920218284
"307",0.0975875865533453
"308",-0.137019358448015
"309",0.0827718733071379
"310",-0.0345767684448219
"311",-0.151411210254082
"312",-0.150701053440571
"313",-0.149997595292007
"314",-0.149300710880198
"315",-0.148610236739842
"316",-0.147926161749638
"317",-0.147248381024838
"318",-0.146576795834335
"319",0.102995878505681
"320",-0.0219091202598065
"321",-0.146247749511531
"322",0.103329061254044
"323",0.102909313673081
"324",0.102492929367145
"325",0.102079977625181
"326",-0.147267708263826
"327",-0.0291293405316537
"328",0.088377672005663
"329",0.0878857871830405
"330",0.0873993659060943
"331",0.0869182662281673
"332",0.0864424416140537
"333",0.0859718200972566
"334",0.0855063142153085
"335",0.0850458323093335
"336",-0.149744489159275
"337",-0.149120974121615
"338",-0.148502630747316
"339",0.101115936598944
"340",0.100737398661295
"341",0.100361678078116
"342",0.0999887560319621
"343",0.0996185841850092
"344",-0.135428176261485
"345",-0.135056281225843
"346",-0.134686372288343
"347",-0.134318551859906
"348",0.101051674009796
"349",0.100684344435649
"350",0.100319729142939
"351",0.0999576994090603
"352",0.0995982637341513
"353",0.0992413968415349
"354",0.0988871288827795
"355",0.0985353392261459
"356",-0.0190175005791389
"357",0.098251389546931
"358",0.0979054102026566
"359",0.097561853192019
"360",0.0972207169306785
"361",0.0968819502140832
"362",0.0965455309469689
"363",0.096211439851686
"364",0.0958796480881574
"365",0.0955501504704444
"366",0.0952229284957866
"367",0.0948979772747407
"368",0.0945751754788944
"369",0.0942545787911513
"370",0.0939361855143943
"371",0.0936199530769954
"372",0.093305803668045
"373",0.0929937928576692
"374",0.0926838233463059
"375",0.0923759734014311
"376",0.0920700837468758
"377",0.0917662529845984
"378",0.107519231118204
"379",0.107283747143811
"380",0.107049306454428
"381",0.1068158903945
"382",0.106583490405683
"383",0.106352113827597
"384",0.106121712653476
"385",0.1058923200344
"386",0.105663919772269
"387",0.105436474148519
"388",0.105210067215012
"389",0.104984616140428
"390",0.104760089676347
"391",0.104536567525429
"392",0.104313981144514
"393",0.104092361727453
"394",0.103871670256922
"395",0.103651898934913
"396",0.103433086300356
"397",0.103215199611441
"398",-0.146439354713948
"399",-0.021391700633103
"400",-0.0213442742624466
"401",0.10343930509589
"402",-0.0215131019194814
"403",0.103271742622383
"404",0.103057482521763
"405",0.102844116285269
"406",0.10263160627801
"407",0.102420020690261
"408",0.10220929372008
"409",0.101999413120211
"410",0.101790410799367
"411",-0.147870282380609
"412",0.101921364601367
"413",-0.0316027705794113
"414",-0.0229533453148179
"415",0.101839878325336
"416",0.101633971444244
"417",0.10142887375514
"418",0.101224567706595
"419",0.101021128963112
"420",0.100818501570757
"421",0.100616678793813
"422",0.10041568316592
"423",0.100215466049121
"424",0.100016083115406
"425",0.0998175024069496
"426",0.099619673746929
"427",0.0994226526727289
"428",0.0992263871776231
"429",0.0990308768396062
"430",0.0988361441177403
"431",0.0986421989036899
"432",0.0984489792717795
"433",0.0982565669728501
"434",0.0980648736021976
"435",0.0978739481488446
"436",0.0976837759462796
"437",0.0974943242836162
"438",-0.134173018090223
"439",-0.133989737256343
"440",-0.133806944859316
"441",-0.133624666161268
"442",-0.00861368167898036
"443",-0.133432132643065
"444",0.11642968059823
"445",0.116291854297742
"446",0.116154337831176
"447",-0.133664707724165
"448",-0.133484239877362
"449",-0.133304255288749
"450",-0.13312477144791
