"","time","mid"
"2521",25200000000000,9809.75
"2522",25210000000000,9809.75
"2523",25220000000000,9809.75
"2524",25230000000000,9809.75
"2525",25240000000000,9809.75
"2526",25250000000000,9809.75
"2527",25260000000000,9809.75
"2528",25270000000000,9809.75
"2529",25280000000000,9809.75
"2530",25290000000000,9809.75
"2531",25300000000000,9809.75
"2532",25310000000000,9809.75
"2533",25320000000000,9809.75
"2534",25330000000000,9809.75
"2535",25340000000000,9809.75
"2536",25350000000000,9809.75
"2537",25360000000000,9809.75
"2538",25370000000000,9809.75
"2539",25380000000000,9809.75
"2540",25390000000000,9809.75
"2541",25400000000000,9809.75
"2542",25410000000000,9809.75
"2543",25420000000000,9809.75
"2544",25430000000000,9809.75
"2545",25440000000000,9809.75
"2546",25450000000000,9809.75
"2547",25460000000000,9809.75
"2548",25470000000000,9809.75
"2549",25480000000000,9809.75
"2550",25490000000000,9809.75
"2551",25500000000000,9809.75
"2552",25510000000000,9809.75
"2553",25520000000000,9809.75
"2554",25530000000000,9809.75
"2555",25540000000000,9809.75
"2556",25550000000000,9809.75
"2557",25560000000000,9809.75
"2558",25570000000000,9809.75
"2559",25580000000000,9809.75
"2560",25590000000000,9809.75
"2561",25600000000000,9809.75
"2562",25610000000000,9809.75
"2563",25620000000000,9809.75
"2564",25630000000000,9809.75
"2565",25640000000000,9809.75
"2566",25650000000000,9809.75
"2567",25660000000000,9809.75
"2568",25670000000000,9809.75
"2569",25680000000000,9809.75
"2570",25690000000000,9809.75
"2571",25700000000000,9809.75
"2572",25710000000000,9809.75
"2573",25720000000000,9809.75
"2574",25730000000000,9809.75
"2575",25740000000000,9809.75
"2576",25750000000000,9809.75
"2577",25760000000000,9809.75
"2578",25770000000000,9809.75
"2579",25780000000000,9809.75
"2580",25790000000000,9809.75
"2581",25800000000000,9809.75
"2582",25810000000000,9809.75
"2583",25820000000000,9809.75
"2584",25830000000000,9809.75
"2585",25840000000000,9809.75
"2586",25850000000000,9809.75
"2587",25860000000000,9809.75
"2588",25870000000000,9809.75
"2589",25880000000000,9809.75
"2590",25890000000000,9809.75
"2591",25900000000000,9809.75
"2592",25910000000000,9809.75
"2593",25920000000000,9809.75
"2594",25930000000000,9809.75
"2595",25940000000000,9809.75
"2596",25950000000000,9809.75
"2597",25960000000000,9809.75
"2598",25970000000000,9809.75
"2599",25980000000000,9809.75
"2600",25990000000000,9809.75
"2601",26000000000000,9809.75
"2602",26010000000000,9809.75
"2603",26020000000000,9809.75
"2604",26030000000000,9809.75
"2605",26040000000000,9809.75
"2606",26050000000000,9809.75
"2607",26060000000000,9809.75
"2608",26070000000000,9809.75
"2609",26080000000000,9809.75
"2610",26090000000000,9809.75
"2611",26100000000000,9809.75
"2612",26110000000000,9809.75
"2613",26120000000000,9809.75
"2614",26130000000000,9809.75
"2615",26140000000000,9809.75
"2616",26150000000000,9809.75
"2617",26160000000000,9809.75
"2618",26170000000000,9809.75
"2619",26180000000000,9809.75
"2620",26190000000000,9809.75
"2621",26200000000000,9809.75
"2622",26210000000000,9809.75
"2623",26220000000000,9809.75
"2624",26230000000000,9809.75
"2625",26240000000000,9809.75
"2626",26250000000000,9809.75
"2627",26260000000000,9809.75
"2628",26270000000000,9809.75
"2629",26280000000000,9809.75
"2630",26290000000000,9809.75
"2631",26300000000000,9809.75
"2632",26310000000000,9809.75
"2633",26320000000000,9809.75
"2634",26330000000000,9809.25
"2635",26340000000000,9809.25
"2636",26350000000000,9809.75
"2637",26360000000000,9809.75
"2638",26370000000000,9809.75
"2639",26380000000000,9809.75
"2640",26390000000000,9809.75
"2641",26400000000000,9809.75
"2642",26410000000000,9809.75
"2643",26420000000000,9809.25
"2644",26430000000000,9809.75
"2645",26440000000000,9809.25
"2646",26450000000000,9809.25
"2647",26460000000000,9809.25
"2648",26470000000000,9809.25
"2649",26480000000000,9809.25
"2650",26490000000000,9809.25
"2651",26500000000000,9809.25
"2652",26510000000000,9809.25
"2653",26520000000000,9809.25
"2654",26530000000000,9809.25
"2655",26540000000000,9809.25
"2656",26550000000000,9809.25
"2657",26560000000000,9809.25
"2658",26570000000000,9809.25
"2659",26580000000000,9809.25
"2660",26590000000000,9809.25
"2661",26600000000000,9809.25
"2662",26610000000000,9809.25
"2663",26620000000000,9809.5
"2664",26630000000000,9809.25
"2665",26640000000000,9809.25
"2666",26650000000000,9809.25
"2667",26660000000000,9809.25
"2668",26670000000000,9809.25
"2669",26680000000000,9809.25
"2670",26690000000000,9809.25
"2671",26700000000000,9809.25
"2672",26710000000000,9809.25
"2673",26720000000000,9809.25
"2674",26730000000000,9809.25
"2675",26740000000000,9809.25
"2676",26750000000000,9809.25
"2677",26760000000000,9809.25
"2678",26770000000000,9809.25
"2679",26780000000000,9809.25
"2680",26790000000000,9809.25
"2681",26800000000000,9809.25
"2682",26810000000000,9809.25
"2683",26820000000000,9809.25
"2684",26830000000000,9809.25
"2685",26840000000000,9809.25
"2686",26850000000000,9809.25
"2687",26860000000000,9809.25
"2688",26870000000000,9809.25
"2689",26880000000000,9809.25
"2690",26890000000000,9809.25
